time,value
00:00,5486.550
00:05,5460.880
00:10,5425.470
00:15,5410.630
00:20,5378.850
00:25,5342.950
00:30,5313.290
00:35,5281.620
00:40,5247.050
00:45,5217.720
00:50,5192.820
00:55,5165.870
01:00,5131.230
01:05,5111.500
01:10,5102.590
01:15,5089.600
01:20,5057.740
01:25,5053.270
01:30,5021.270
01:35,5013.410
01:40,4991.560
01:45,4959.790
01:50,4932.470
01:55,4912.010
02:00,4891.940
02:05,4864.030
02:10,4834.070
02:15,4804.570
02:20,4785.460
02:25,4767.500
02:30,4743.940
02:35,4713.120
02:40,4688.230
02:45,4669.600
02:50,4638.990
02:55,4600.900
03:00,4591.090
03:05,4549.590
03:10,4518.330
03:15,4499.160
03:20,4472.620
03:25,4455.820
03:30,4439.780
03:35,4400.700
03:40,4390.130
03:45,4363.690
03:50,4352.530
03:55,4315.960
04:00,4307.720
04:05,4284.450
04:10,4264.790
04:15,4236.250
04:20,4213.770
04:25,4195.370
04:30,4167.760
04:35,4139.100
04:40,4121.700
04:45,4098.560
04:50,4073.320
04:55,4035.470
05:00,4026.390
05:05,4020.800
05:10,3997.420
05:15,3988.970
05:20,3963.210
05:25,3955.850
05:30,3945.090
05:35,3904.590
05:40,3889.780
05:45,3864.320
05:50,3838.380
05:55,3814.210
06:00,3802.060
06:05,3804.570
06:10,3786.490
06:15,3782.070
06:20,3807.340
06:25,3791.170
06:30,3802.860
06:35,3812.700
06:40,3781.700
06:45,3765.000
06:50,3763.010
06:55,3753.060
07:00,3752.710
07:05,3713.900
07:10,3659.930
07:15,3715.370
07:20,3679.170
07:25,3699.670
07:30,3655.050
07:35,3667.980
07:40,3687.230
07:45,3652.000
07:50,3668.080
07:55,3679.100
08:00,3674.600
08:05,3703.130
08:10,3699.320
08:15,3735.350
08:20,3720.470
08:25,3783.070
08:30,3767.920
08:35,3790.830
08:40,3816.990
08:45,3817.010
08:50,3822.530
08:55,3859.780
09:00,3902.740
09:05,3926.020
09:10,3997.320
09:15,4039.240
09:20,4130.980
09:25,4169.050
09:30,4189.490
09:35,4260.690
09:40,4312.470
09:45,4331.100
09:50,4374.620
09:55,4388.810
10:00,4422.460
10:05,4487.830
10:10,4546.350
10:15,4534.990
10:20,4590.060
10:25,4600.840
10:30,4656.950
10:35,4666.620
10:40,4667.490
10:45,4728.750
10:50,4735.600
10:55,4714.510
11:00,4772.720
11:05,4797.340
11:10,4808.180
11:15,4832.440
11:20,4816.850
11:25,4860.190
11:30,4884.620
11:35,4905.040
11:40,4942.540
11:45,4895.910
11:50,4954.710
11:55,4973.850
12:00,5000.550
12:05,4998.950
12:10,5005.480
12:15,5028.280
12:20,5031.580
12:25,5049.260
12:30,5082.440
12:35,5075.380
12:40,5100.220
12:45,5132.560
12:50,5094.960
12:55,5111.490
13:00,5082.320
13:05,4972.730
13:10,4985.000
13:15,4944.860
13:20,5002.050
13:25,5010.790
13:30,5006.230
13:35,5074.290
13:40,5121.020
13:45,5124.110
13:50,5169.370
13:55,5225.750
14:00,5255.280
14:05,5308.100
14:10,5390.640
14:15,5375.000
14:20,5423.420
14:25,5495.480
14:30,5510.410
14:35,5585.680
14:40,5589.030
14:45,5574.780
14:50,5651.710
14:55,5703.250
15:00,5715.150
15:05,5738.890
15:10,5805.030
15:15,5739.120
15:20,5733.060
15:25,5744.040
15:30,5733.880
15:35,5772.890
15:40,5743.400
15:45,5755.130
15:50,5736.020
15:55,5694.200
16:00,5661.540
16:05,5634.040
16:10,5615.900
16:15,5561.970
16:20,5574.710
16:25,5578.040
16:30,5491.240
16:35,5471.300
16:40,5367.700
16:45,5363.410
16:50,5289.550
16:55,5218.290
17:00,5174.430
17:05,5167.330
17:10,5109.130
17:15,5101.400
17:20,5046.280
17:25,4986.690
17:30,4971.240
17:35,4896.120
17:40,4889.240
17:45,4866.200
17:50,4814.170
17:55,4774.070
18:00,4742.450
18:05,4688.740
18:10,4623.770
18:15,4627.920
18:20,4623.260
18:25,4597.930
18:30,4517.290
18:35,4487.530
18:40,4408.250
18:45,4487.750
18:50,4444.370
18:55,4440.770
19:00,4463.580
19:05,4478.500
19:10,4457.250
19:15,4506.560
19:20,4520.330
19:25,4511.020
19:30,4544.910
19:35,4534.350
19:40,4520.580
19:45,4513.870
19:50,4508.220
19:55,4522.400
20:00,4499.170
20:05,4511.720
20:10,4488.400
20:15,4477.120
20:20,4514.120
20:25,4463.010
20:30,4459.370
20:35,4488.590
20:40,4485.280
20:45,4499.240
20:50,4464.620
20:55,4411.560
21:00,4408.860
21:05,4420.520
21:10,4398.480
21:15,4448.980
21:20,4478.160
21:25,4508.610
21:30,4556.240
21:35,4584.310
21:40,4609.630
21:45,4629.110
21:50,4681.310
21:55,4713.770
22:00,4792.240
22:05,4708.360
22:10,4727.600
22:15,4816.920
22:20,4867.300
22:25,4881.440
22:30,4892.910
22:35,4912.610
22:40,4913.860
22:45,4942.460
22:50,4947.470
22:55,4927.950
23:00,4953.810
23:05,4914.760
23:10,4932.130
23:15,4925.010
23:20,4931.540
23:25,4970.150
23:30,4971.670
23:35,4951.650
23:40,4916.750
23:45,4914.860
23:50,4886.680
23:55,4877.440
