time ,value,,,,,
,,,,,,
00:00,5260.11,,,,,
00:05,5206.82,,,,,
00:10,5197.43,,,,,
00:15,5185.07,,,,,
00:20,5176.8,,,,,
00:25,5158.18,,,,,
00:30,5130.66,,,,,
00:35,5110.16,,,,,
00:40,5066.2,,,,,
00:45,5042.03,,,,,
00:50,5041.99,,,,,
00:55,4999.33,,,,,
01:00,4979.83,,,,,
01:05,4980.82,,,,,
01:10,4934.57,,,,,
01:15,4911.55,,,,,
01:20,4883.53,,,,,
01:25,4864.18,,,,,
01:30,4835.28,,,,,
01:35,4821.58,,,,,
01:40,4799.05,,,,,
01:45,4779.46,,,,,
01:50,4760.97,,,,,
01:55,4720.17,,,,,
02:00,4709.27,,,,,
02:05,4689.65,,,,,
02:10,4653.4,,,,,
02:15,4636.06,,,,,
02:20,4618.81,,,,,
02:25,4608.01,,,,,
02:30,4576.77,,,,,
02:35,4555.4,,,,,
02:40,4531.32,,,,,
02:45,4522.68,,,,,
02:50,4489.88,,,,,
02:55,4462.18,,,,,
03:00,4473.44,,,,,
03:05,4428.69,,,,,
03:10,4365.16,,,,,
03:15,4335.49,,,,,
03:20,4323.27,,,,,
03:25,4301.16,,,,,
03:30,4289.5,,,,,
03:35,4269,,,,,
03:40,4243.99,,,,,
03:45,4229.35,,,,,
03:50,4232.56,,,,,
03:55,4215.68,,,,,
04:00,4197.11,,,,,
04:05,4176.78,,,,,
04:10,4175.63,,,,,
04:15,4162.09,,,,,
04:20,4138.03,,,,,
04:25,4126.14,,,,,
04:30,4108.4,,,,,
04:35,4104.62,,,,,
04:40,4079.82,,,,,
04:45,4070.28,,,,,
04:50,4040.39,,,,,
04:55,4030.2,,,,,
05:00,4020.72,,,,,
05:05,3983.7,,,,,
05:10,3965.47,,,,,
05:15,3956.86,,,,,
05:20,3933.13,,,,,
05:25,3915.43,,,,,
05:30,3890.33,,,,,
05:35,3836.76,,,,,
05:40,3841.02,,,,,
05:45,3775,,,,,
05:50,3766.32,,,,,
05:55,3764.64,,,,,
06:00,3740.11,,,,,
06:05,3723.9,,,,,
06:10,3737.6,,,,,
06:15,3739.66,,,,,
06:20,3743.05,,,,,
06:25,3732.89,,,,,
06:30,3727.75,,,,,
06:35,3699.76,,,,,
06:40,3703.94,,,,,
06:45,3692.78,,,,,
06:50,3717.88,,,,,
06:55,3657.08,,,,,
07:00,3675.04,,,,,
07:05,3639.82,,,,,
07:10,3684.09,,,,,
07:15,3648.02,,,,,
07:20,3671.75,,,,,
07:25,3670.86,,,,,
07:30,3651.88,,,,,
07:35,3636.28,,,,,
07:40,3645.06,,,,,
07:45,3653.31,,,,,
07:50,3660.46,,,,,
07:55,3670.89,,,,,
08:00,3681.21,,,,,
08:05,3665.05,,,,,
08:10,3727.88,,,,,
08:15,3751.52,,,,,
08:20,3798.11,,,,,
08:25,3748.56,,,,,
08:30,3770.18,,,,,
08:35,3784.78,,,,,
08:40,3783.04,,,,,
08:45,3850.26,,,,,
08:50,3871.76,,,,,
08:55,3869.67,,,,,
09:00,3944.5,,,,,
09:05,3948.33,,,,,
