time,value,,,,,
,,,,,,
00:00,6073.79,,,,,
00:05,6062.81,,,,,
00:10,6063.94,,,,,
00:15,6040.94,,,,,
00:20,6029.89,,,,,
00:25,6009.77,,,,,
00:30,5987.79,,,,,
00:35,6007.64,,,,,
00:40,5981.51,,,,,
00:45,5946.91,,,,,
00:50,5936.41,,,,,
00:55,5902.17,,,,,
01:00,5898.13,,,,,
01:05,5875.24,,,,,
01:10,5863.28,,,,,
01:15,5851.83,,,,,
01:20,5825.92,,,,,
01:25,5802.7,,,,,
01:30,5775.36,,,,,
01:35,5734.51,,,,,
01:40,5705.76,,,,,
01:45,5701.08,,,,,
01:50,5684.65,,,,,
01:55,5660.97,,,,,
02:00,5627.45,,,,,
02:05,5616.14,,,,,
02:10,5578.74,,,,,
02:15,5546.47,,,,,
02:20,5517.85,,,,,
02:25,5514.11,,,,,
02:30,5499.75,,,,,
02:35,5462.08,,,,,
02:40,5433.9,,,,,
02:45,5397.93,,,,,
02:50,5395.06,,,,,
02:55,5345.55,,,,,
03:00,5336.39,,,,,
03:05,5292.44,,,,,
03:10,5262.97,,,,,
03:15,5259.46,,,,,
03:20,5263.33,,,,,
03:25,5240.11,,,,,
03:30,5228.89,,,,,
03:35,5221.3,,,,,
03:40,5206.23,,,,,
03:45,5166.88,,,,,
03:50,5150.3,,,,,
03:55,5135.6,,,,,
04:00,5115.3,,,,,
04:05,5099.14,,,,,
04:10,5076.5,,,,,
04:15,5050.06,,,,,
04:20,5039.39,,,,,
04:25,5026,,,,,
04:30,5022.2,,,,,
04:35,4998.18,,,,,
04:40,4974.79,,,,,
04:45,4934.89,,,,,
04:50,4909.6,,,,,
04:55,4883.22,,,,,
05:00,4854.17,,,,,
05:05,4819.13,,,,,
05:10,4785.95,,,,,
05:15,4767.51,,,,,
05:20,4739.88,,,,,
05:25,4692.54,,,,,
05:30,4648.78,,,,,
05:35,4607.7,,,,,
05:40,4601,,,,,
05:45,4548.8,,,,,
05:50,4477.07,,,,,
05:55,4443.66,,,,,
06:00,4420.57,,,,,
06:05,4438.14,,,,,
06:10,4439.18,,,,,
06:15,4431.86,,,,,
06:20,4423.15,,,,,
06:25,4382.39,,,,,
06:30,4355.66,,,,,
06:35,4351.82,,,,,
06:40,4343.46,,,,,
06:45,4317.93,,,,,
06:50,4328.12,,,,,
06:55,4332.34,,,,,
07:00,4279.18,,,,,
07:05,4275.46,,,,,
07:10,4286.09,,,,,
07:15,4292.46,,,,,
07:20,4270.64,,,,,
07:25,4287.38,,,,,
07:30,4303.38,,,,,
07:35,4319.1,,,,,
07:40,4301.6,,,,,
07:45,4290.25,,,,,
07:50,4268.29,,,,,
07:55,4264.85,,,,,
08:00,4269.25,,,,,
08:05,4317.41,,,,,
08:10,4297.26,,,,,
08:15,4327.12,,,,,
08:20,4346.49,,,,,
08:25,4392.86,,,,,
08:30,4362.91,,,,,
08:35,4320.69,,,,,
08:40,4396.27,,,,,
08:45,4447.17,,,,,
08:50,4420.24,,,,,
08:55,4463.31,,,,,
09:00,4489.04,,,,,
09:05,4481.06,,,,,
09:10,4564.05,,,,,
09:15,4623.18,,,,,
09:20,4667.62,,,,,
09:25,4687.13,,,,,
09:30,4318.84,,,,,
09:35,4844.75,,,,,
09:40,4892.76,,,,,
09:45,4929.02,,,,,
09:50,4991.85,,,,,
09:55,5003.08,,,,,
10:00,5060.66,,,,,
10:05,5146.03,,,,,
10:10,5157.33,,,,,
10:15,5202.63,,,,,
10:20,5233.91,,,,,
10:25,5231.12,,,,,
10:30,5297.28,,,,,
10:35,5344.5,,,,,
10:40,5379.47,,,,,
10:45,5368.1,,,,,
10:50,5360.44,,,,,
10:55,5404.53,,,,,
11:00,5404.76,,,,,
11:05,5407.47,,,,,
11:10,5445.44,,,,,
11:15,5490.69,,,,,
11:20,5504.72,,,,,
11:25,5532.71,,,,,
11:30,5578.39,,,,,
11:35,5546.72,,,,,
11:40,5589.73,,,,,
11:45,5623.37,,,,,
11:50,5608.34,,,,,
11:55,5677.25,,,,,
12:00,5671.77,,,,,
12:05,5645.77,,,,,
12:10,5691.89,,,,,
12:15,5755.72,,,,,
12:20,5727.6,,,,,
12:25,5769.7,,,,,
12:30,5774.07,,,,,
12:35,5809.32,,,,,
12:40,5798.08,,,,,
12:45,5770.56,,,,,
12:50,5833.18,,,,,
12:55,5820.9,,,,,
13:00,5737.9,,,,,
13:05,5756.73,,,,,
13:10,5736.41,,,,,
13:15,5714.61,,,,,
13:20,5752.65,,,,,
13:25,5754.49,,,,,
13:30,5774.62,,,,,
13:35,5843.63,,,,,
13:40,5893.62,,,,,
13:45,5898.01,,,,,
13:50,5941.96,,,,,
13:55,6026.78,,,,,
14:00,6007.16,,,,,
14:05,6067.68,,,,,
14:10,6131.07,,,,,
14:15,6177.09,,,,,
14:20,6210.27,,,,,
14:25,6173.49,,,,,
14:30,6208.52,,,,,
14:35,6319.61,,,,,
14:40,6315.21,,,,,
14:45,6348.27,,,,,
14:50,6404.5,,,,,
14:55,6351.45,,,,,
15:00,6368.55,,,,,
15:05,6442.15,,,,,
15:10,6363.9,,,,,
15:15,6402.44,,,,,
15:20,6390.86,,,,,
15:25,6405.58,,,,,
15:30,6382.79,,,,,
15:35,6412.97,,,,,
15:40,6402.45,,,,,
15:45,6426.03,,,,,
15:50,6416.52,,,,,
15:55,6368.88,,,,,
16:00,6333.95,,,,,
16:05,6370.43,,,,,
16:10,6315.24,,,,,
16:15,6293.62,,,,,
16:20,6309.33,,,,,
16:25,6294.85,,,,,
16:30,6258.59,,,,,
16:35,6215.85,,,,,
16:40,6162.72,,,,,
16:45,6096.01,,,,,
16:50,6164.51,,,,,
16:55,6108.61,,,,,
17:00,6131.37,,,,,
17:05,6078.92,,,,,
17:10,5952.68,,,,,
17:15,5928.23,,,,,
17:20,5862.03,,,,,
17:25,5900.82,,,,,
17:30,5894.75,,,,,
17:35,5878.2,,,,,
17:40,5791.03,,,,,
17:45,5767.22,,,,,
17:50,5725.18,,,,,
17:55,5638.27,,,,,
18:00,5618.64,,,,,
18:05,5560.22,,,,,
18:10,5547.67,,,,,
