time,value
00:00,2305.910
00:05,2239.970
00:10,2253.430
00:15,2170.270
00:20,2165.990
00:25,2130.830
00:30,2082.090
00:35,2069.060
00:40,2047.680
00:45,2010.430
00:50,1986.740
00:55,1959.170
01:00,1946.090
01:05,1915.400
01:10,1893.410
01:15,1876.300
01:20,1858.450
01:25,1850.160
01:30,1837.440
01:35,1813.860
01:40,1813.430
01:45,1791.440
01:50,1799.490
01:55,1788.040
02:00,1773.860
02:05,1761.000
02:10,1758.090
02:15,1752.000
02:20,1738.600
02:25,1737.380
02:30,1719.020
02:35,1713.680
02:40,1701.020
02:45,1707.900
02:50,1702.730
02:55,1701.110
03:00,1678.810
03:05,1690.480
03:10,1694.440
03:15,1694.460
03:20,1675.980
03:25,1678.390
03:30,1700.810
03:35,1679.910
03:40,1679.480
03:45,1680.940
03:50,1682.850
03:55,1700.460
04:00,1708.900
04:05,1701.660
04:10,1716.710
04:15,1738.860
04:20,1732.150
04:25,1757.760
04:30,1761.420
04:35,1789.370
04:40,1801.300
04:45,1817.790
04:50,1839.880
04:55,1858.060
05:00,1895.050
05:05,1935.200
05:10,1967.430
05:15,2019.690
05:20,2059.280
05:25,2110.100
05:30,2160.670
05:35,2244.090
05:40,2289.320
05:45,2350.550
05:50,2430.270
05:55,2462.060
06:00,2545.340
06:05,2640.270
06:10,2711.930
06:15,2776.030
06:20,2936.700
06:25,3024.610
06:30,3109.390
06:35,3190.680
06:40,3266.810
06:45,3315.680
06:50,3417.980
06:55,3482.420
07:00,3532.350
07:05,3612.740
07:10,3670.940
07:15,3716.440
07:20,3792.830
07:25,3850.590
07:30,3947.530
07:35,3971.540
07:40,4000.590
07:45,4041.050
07:50,4054.420
07:55,4087.810
08:00,4162.810
08:05,4217.810
08:10,4201.460
08:15,4264.750
08:20,4297.000
08:25,4350.950
08:30,4475.300
08:35,4332.080
08:40,4346.230
08:45,4416.900
08:50,4400.940
08:55,4403.480
09:00,4424.790
09:05,4458.660
09:10,4425.780
09:15,4540.540
09:20,4593.130
09:25,4626.150
09:30,4671.770
09:35,4688.640
09:40,4778.500
09:45,4814.560
09:50,4812.180
09:55,4874.630
10:00,4870.960
10:05,4887.930
10:10,4855.780
10:15,4858.050
10:20,4716.590
10:25,4783.540
10:30,4784.170
10:35,4832.950
10:40,4812.440
10:45,4823.780
10:50,4770.730
10:55,4783.600
11:00,4795.060
11:05,4771.190
11:10,4753.160
11:15,4730.200
11:20,4748.850
11:25,4768.570
11:30,4738.230
11:35,4667.130
11:40,4740.200
11:45,4722.290
11:50,4715.290
11:55,4670.240
12:00,4667.840
12:05,4672.880
12:10,4576.710
12:15,4612.920
12:20,4589.290
12:25,4532.650
12:30,4519.530
12:35,4511.800
12:40,4489.730
12:45,4465.160
12:50,4413.480
12:55,4345.370
13:00,4278.930
13:05,4097.970
13:10,4084.600
13:15,4057.020
13:20,4016.640
13:25,4027.880
13:30,3851.130
13:35,3888.820
13:40,3902.020
13:45,3912.070
13:50,3903.490
13:55,3910.650
14:00,3905.700
14:05,3915.880
14:10,3886.530
14:15,3835.330
14:20,3869.010
14:25,3880.540
14:30,3896.180
14:35,3848.990
14:40,3843.100
14:45,3812.050
14:50,3805.800
14:55,3808.500
15:00,3805.210
15:05,3644.050
15:10,3751.940
15:15,3787.120
15:20,3753.410
15:25,3757.500
15:30,3747.780
15:35,3687.590
15:40,3731.140
15:45,3777.220
15:50,3752.820
15:55,3757.190
16:00,3778.390
16:05,3773.760
16:10,3768.070
16:15,3766.310
16:20,3717.420
16:25,3751.460
16:30,3746.480
16:35,3770.100
16:40,3762.980
16:45,3755.160
16:50,3778.960
16:55,3781.920
17:00,3780.530
17:05,3876.430
17:10,3889.100
17:15,3956.290
17:20,3948.550
17:25,3968.290
17:30,3992.410
17:35,4011.290
17:40,4077.030
17:45,4084.010
17:50,4076.640
17:55,4115.050
18:00,4098.520
18:05,4123.550
18:10,4085.220
18:15,4121.190
18:20,4049.440
18:25,4080.100
18:30,4090.370
18:35,4074.180
18:40,4068.190
18:45,4082.980
18:50,4059.870
18:55,4096.300
19:00,4063.710
19:05,4055.640
19:10,4008.390
19:15,4012.610
19:20,4023.690
19:25,4020.850
19:30,3989.590
19:35,4010.070
19:40,3955.950
19:45,3936.930
19:50,3957.860
19:55,3914.800
20:00,3936.370
20:05,3870.160
20:10,3887.120
20:15,3872.160
20:20,3846.140
20:25,3845.130
20:30,3812.700
20:35,3777.950
20:40,3786.900
20:45,3765.540
20:50,3702.310
20:55,3683.680
21:00,3665.880
21:05,3652.920
21:10,3635.600
21:15,3593.700
21:20,3583.960
21:25,3561.850
21:30,3559.480
21:35,3520.280
21:40,3522.750
21:45,3486.030
21:50,3469.750
21:55,3450.270
22:00,3438.680
22:05,3373.610
22:10,3326.980
22:15,3287.950
22:20,3248.420
22:25,3255.850
22:30,3196.180
22:35,3137.390
22:40,3094.190
22:45,3048.480
22:50,2995.730
22:55,2978.220
23:00,2922.030
23:05,2865.100
23:10,2792.760
23:15,2765.900
23:20,2714.570
23:25,2692.060
23:30,2644.350
23:35,2595.000
23:40,2546.410
23:45,2502.440
23:50,2464.740
23:55,2423.120
