Date,Hour,Min,Load
01-01-2018,0,0,1868.990
01-01-2018,0,30,1738.790
01-01-2018,1,0,1620.270
01-01-2018,1,30,1569.020
01-01-2018,2,0,1510.060
01-01-2018,2,30,1467.030
01-01-2018,3,0,1424.390
01-01-2018,3,30,1417.090
01-01-2018,4,0,1426.580
01-01-2018,4,30,1471.670
01-01-2018,5,0,1578.410
01-01-2018,5,30,1761.150
01-01-2018,6,0,1961.040
01-01-2018,6,30,2250.910
01-01-2018,7,0,2589.600
01-01-2018,7,30,3016.550
01-01-2018,8,0,3234.760
01-01-2018,8,30,3417.750
01-01-2018,9,0,3528.790
01-01-2018,9,30,3777.790
01-01-2018,10,0,3926.200
01-01-2018,10,30,4018.450
01-01-2018,11,0,3954.210
01-01-2018,11,30,3911.930
01-01-2018,12,0,3793.200
01-01-2018,12,30,3646.780
01-01-2018,13,0,3417.650
01-01-2018,13,30,3140.310
01-01-2018,14,0,3090.090
01-01-2018,14,30,3012.090
01-01-2018,15,0,2946.360
01-01-2018,15,30,2861.400
01-01-2018,16,0,2825.370
01-01-2018,16,30,2812.970
01-01-2018,17,0,2863.420
01-01-2018,17,30,2938.790
01-01-2018,18,0,3082.060
01-01-2018,18,30,3080.540
01-01-2018,19,0,3061.990
01-01-2018,19,30,2992.910
01-01-2018,20,0,2935.840
01-01-2018,20,30,2839.120
01-01-2018,21,0,2701.100
01-01-2018,21,30,2641.720
01-01-2018,22,0,2521.820
01-01-2018,22,30,2346.350
01-01-2018,23,0,2167.070
01-01-2018,23,30,1961.610
02-01-2018,0,0,1794.890
02-01-2018,0,30,1681.940
02-01-2018,1,0,1593.430
02-01-2018,1,30,1519.850
02-01-2018,2,0,1486.710
02-01-2018,2,30,1457.530
02-01-2018,3,0,1443.990
02-01-2018,3,30,1416.480
02-01-2018,4,0,1448.480
02-01-2018,4,30,1495.660
02-01-2018,5,0,1580.670
02-01-2018,5,30,1772.760
02-01-2018,6,0,2047.830
02-01-2018,6,30,2399.900
02-01-2018,7,0,2697.370
02-01-2018,7,30,3095.200
02-01-2018,8,0,3386.060
02-01-2018,8,30,3574.140
02-01-2018,9,0,3675.990
02-01-2018,9,30,3881.770
02-01-2018,10,0,3959.000
02-01-2018,10,30,3994.940
02-01-2018,11,0,3901.010
02-01-2018,11,30,3637.610
02-01-2018,12,0,3538.050
02-01-2018,12,30,3581.840
02-01-2018,13,0,3386.350
02-01-2018,13,30,3145.360
02-01-2018,14,0,3161.000
02-01-2018,14,30,3110.510
02-01-2018,15,0,3079.050
02-01-2018,15,30,3034.740
02-01-2018,16,0,3049.370
02-01-2018,16,30,3038.700
02-01-2018,17,0,3058.730
02-01-2018,17,30,3179.250
02-01-2018,18,0,3381.010
02-01-2018,18,30,3458.780
02-01-2018,19,0,3379.240
02-01-2018,19,30,3304.220
02-01-2018,20,0,3179.730
02-01-2018,20,30,3034.270
02-01-2018,21,0,2930.840
02-01-2018,21,30,2796.030
02-01-2018,22,0,2705.820
02-01-2018,22,30,2475.120
02-01-2018,23,0,2286.770
02-01-2018,23,30,2105.180
03-01-2018,0,0,1923.380
03-01-2018,0,30,1811.790
03-01-2018,1,0,1722.480
03-01-2018,1,30,1646.180
03-01-2018,2,0,1553.250
03-01-2018,2,30,1521.110
03-01-2018,3,0,1496.110
03-01-2018,3,30,1494.230
03-01-2018,4,0,1516.720
03-01-2018,4,30,1575.760
03-01-2018,5,0,1644.150
03-01-2018,5,30,1838.790
03-01-2018,6,0,2106.960
03-01-2018,6,30,2448.270
03-01-2018,7,0,2771.740
03-01-2018,7,30,3159.740
03-01-2018,8,0,3479.180
03-01-2018,8,30,3797.490
03-01-2018,9,0,3860.960
03-01-2018,9,30,4010.890
03-01-2018,10,0,4158.000
03-01-2018,10,30,4141.280
03-01-2018,11,0,4091.870
03-01-2018,11,30,4003.580
03-01-2018,12,0,3894.710
03-01-2018,12,30,3726.960
03-01-2018,13,0,3494.330
03-01-2018,13,30,3230.980
03-01-2018,14,0,3220.780
03-01-2018,14,30,3199.770
03-01-2018,15,0,3153.020
03-01-2018,15,30,3067.040
03-01-2018,16,0,3035.130
03-01-2018,16,30,3055.280
03-01-2018,17,0,3140.360
03-01-2018,17,30,3253.640
03-01-2018,18,0,3433.870
03-01-2018,18,30,3483.000
03-01-2018,19,0,3446.000
03-01-2018,19,30,3407.220
03-01-2018,20,0,3300.080
03-01-2018,20,30,3202.500
03-01-2018,21,0,2992.110
03-01-2018,21,30,2843.930
03-01-2018,22,0,2737.000
03-01-2018,22,30,2561.510
03-01-2018,23,0,2347.030
03-01-2018,23,30,2144.660
04-01-2018,0,0,1947.710
04-01-2018,0,30,1780.980
04-01-2018,1,0,1686.370
04-01-2018,1,30,1565.870
04-01-2018,2,0,1522.060
04-01-2018,2,30,1492.770
04-01-2018,3,0,1459.910
04-01-2018,3,30,1460.020
04-01-2018,4,0,1461.590
04-01-2018,4,30,1522.960
04-01-2018,5,0,1620.450
04-01-2018,5,30,1800.140
04-01-2018,6,0,2071.580
04-01-2018,6,30,2445.070
04-01-2018,7,0,2774.750
04-01-2018,7,30,3188.590
04-01-2018,8,0,3464.000
04-01-2018,8,30,3681.790
04-01-2018,9,0,3756.340
04-01-2018,9,30,3955.160
04-01-2018,10,0,4022.250
04-01-2018,10,30,4049.020
04-01-2018,11,0,3971.510
04-01-2018,11,30,3811.840
04-01-2018,12,0,3804.640
04-01-2018,12,30,3664.520
04-01-2018,13,0,3419.540
04-01-2018,13,30,3173.980
04-01-2018,14,0,3209.190
04-01-2018,14,30,3194.690
04-01-2018,15,0,3201.520
04-01-2018,15,30,3118.940
04-01-2018,16,0,2712.440
04-01-2018,16,30,3186.260
04-01-2018,17,0,3252.710
04-01-2018,17,30,3370.080
04-01-2018,18,0,3504.120
04-01-2018,18,30,3551.840
04-01-2018,19,0,3551.890
04-01-2018,19,30,3459.640
04-01-2018,20,0,3331.070
04-01-2018,20,30,3244.210
04-01-2018,21,0,3079.300
04-01-2018,21,30,2976.250
04-01-2018,22,0,2832.350
04-01-2018,22,30,2596.030
05-01-2018,0,0,1985.560
05-01-2018,0,30,1818.980
05-01-2018,1,0,1723.360
05-01-2018,1,30,1648.120
05-01-2018,2,0,1610.100
05-01-2018,2,30,1578.770
05-01-2018,3,0,1551.270
05-01-2018,3,30,1548.840
05-01-2018,4,0,1565.130
05-01-2018,4,30,1621.400
05-01-2018,5,0,1701.830
05-01-2018,5,30,1903.870
05-01-2018,6,0,2190.110
05-01-2018,6,30,2588.290
05-01-2018,7,0,2900.410
05-01-2018,7,30,3351.800
05-01-2018,8,0,3719.770
05-01-2018,8,30,3921.470
05-01-2018,9,0,4044.850
05-01-2018,9,30,4210.650
05-01-2018,10,0,4420.980
05-01-2018,10,30,4422.290
05-01-2018,11,0,4354.050
05-01-2018,11,30,4184.170
05-01-2018,12,0,4210.380
05-01-2018,12,30,4006.120
05-01-2018,13,0,3705.930
05-01-2018,13,30,3395.170
05-01-2018,14,0,3391.410
05-01-2018,14,30,3392.950
05-01-2018,15,0,3327.540
05-01-2018,15,30,3276.290
05-01-2018,16,0,3279.910
05-01-2018,16,30,3272.150
05-01-2018,17,0,3314.970
05-01-2018,17,30,3455.300
05-01-2018,18,0,3625.050
05-01-2018,18,30,3598.010
05-01-2018,19,0,3585.620
05-01-2018,19,30,3578.370
05-01-2018,20,0,3482.050
05-01-2018,20,30,3305.450
05-01-2018,21,0,3141.630
