Date,Hour,Load
01-01-2018,0,1868.990
01-01-2018,1,1620.270
01-01-2018,2,1510.060
01-01-2018,3,1424.390
01-01-2018,4,1426.580
01-01-2018,5,1578.410
01-01-2018,6,1961.040
01-01-2018,7,2589.600
01-01-2018,8,3234.760
01-01-2018,9,3528.790
01-01-2018,10,3926.200
01-01-2018,11,3954.210
01-01-2018,12,3793.200
01-01-2018,13,3417.650
01-01-2018,14,3090.090
01-01-2018,15,2946.360
01-01-2018,16,2825.370
01-01-2018,17,2863.420
01-01-2018,18,3082.060
01-01-2018,19,3061.990
01-01-2018,20,2935.840
01-01-2018,21,2701.100
01-01-2018,22,2521.820
01-01-2018,23,2167.070
02-01-2018,0,1794.890
02-01-2018,1,1593.430
02-01-2018,2,1486.710
02-01-2018,3,1443.990
02-01-2018,4,1448.480
02-01-2018,5,1580.670
02-01-2018,6,2047.830
02-01-2018,7,2697.370
02-01-2018,8,3386.060
02-01-2018,9,3675.990
02-01-2018,10,3959.000
02-01-2018,11,3901.010
02-01-2018,12,3538.050
02-01-2018,13,3386.350
02-01-2018,14,3161.000
02-01-2018,15,3079.050
02-01-2018,16,3049.370
02-01-2018,17,3058.730
02-01-2018,18,3381.010
02-01-2018,19,3379.240
02-01-2018,20,3179.730
02-01-2018,21,2930.840
02-01-2018,22,2705.820
02-01-2018,23,2286.770
03-01-2018,0,1923.380
03-01-2018,1,1722.480
03-01-2018,2,1553.250
03-01-2018,3,1496.110
03-01-2018,4,1516.720
03-01-2018,5,1644.150
03-01-2018,6,2106.960
03-01-2018,7,2771.740
03-01-2018,8,3479.180
03-01-2018,9,3860.960
03-01-2018,10,4158.000
03-01-2018,11,4091.870
03-01-2018,12,3894.710
03-01-2018,13,3494.330
03-01-2018,14,3220.780
03-01-2018,15,3153.020
03-01-2018,16,3035.130
03-01-2018,17,3140.360
03-01-2018,18,3433.870
03-01-2018,19,3446.000
03-01-2018,20,3300.080
03-01-2018,21,2992.110
03-01-2018,22,2737.000
03-01-2018,23,2347.030
04-01-2018,0,1947.710
04-01-2018,1,1686.370
04-01-2018,2,1522.060
04-01-2018,3,1459.910
04-01-2018,4,1461.590
04-01-2018,5,1620.450
04-01-2018,6,2071.580
04-01-2018,7,2774.750
04-01-2018,8,3464.000
04-01-2018,9,3756.340
04-01-2018,10,4022.250
04-01-2018,11,3971.510
04-01-2018,12,3804.640
04-01-2018,13,3419.540
04-01-2018,14,3209.190
04-01-2018,15,3201.520
04-01-2018,16,2712.440
04-01-2018,17,3252.710
04-01-2018,18,3504.120
04-01-2018,19,3551.890
04-01-2018,20,3331.070
04-01-2018,21,3079.300
04-01-2018,22,2832.350
05-01-2018,0,1985.560
05-01-2018,1,1723.360
05-01-2018,2,1610.100
05-01-2018,3,1551.270
05-01-2018,4,1565.130
05-01-2018,5,1701.830
05-01-2018,6,2190.110
05-01-2018,7,2900.410
05-01-2018,8,3719.770
05-01-2018,9,4044.850
05-01-2018,10,4420.980
05-01-2018,11,4354.050
05-01-2018,12,4210.380
05-01-2018,13,3705.930
05-01-2018,14,3391.410
05-01-2018,15,3327.540
05-01-2018,16,3279.910
05-01-2018,17,3314.970
05-01-2018,18,3625.050
05-01-2018,19,3585.620
05-01-2018,20,3482.050
05-01-2018,21,3141.630
05-01-2018,22,2900.670
05-01-2018,23,2468.040
06-01-2018,0,2044.620
06-01-2018,1,1770.700
06-01-2018,2,1652.060
06-01-2018,3,1586.860
06-01-2018,4,1585.720
06-01-2018,5,1720.750
06-01-2018,6,2142.760
06-01-2018,7,2758.200
06-01-2018,8,3466.270
06-01-2018,9,3455.110
06-01-2018,10,4106.300
06-01-2018,11,4044.030
06-01-2018,12,3780.970
06-01-2018,13,3413.190
06-01-2018,14,3106.640
06-01-2018,15,3003.460
06-01-2018,16,2934.670
06-01-2018,17,2995.290
06-01-2018,18,3305.260
06-01-2018,19,3391.530
06-01-2018,20,3286.740
06-01-2018,21,3019.760
06-01-2018,22,2749.080
06-01-2018,23,2345.050
07-01-2018,0,1936.810
07-01-2018,1,1689.170
07-01-2018,2,1549.740
07-01-2018,3,1496.770
07-01-2018,4,1489.260
07-01-2018,5,1606.620
07-01-2018,6,1974.520
07-01-2018,7,2437.110
07-01-2018,8,3202.450
07-01-2018,9,3549.070
07-01-2018,10,3948.490
07-01-2018,11,4016.470
07-01-2018,12,3854.980
07-01-2018,13,3434.180
07-01-2018,14,3093.860
07-01-2018,15,2862.560
07-01-2018,16,2743.470
07-01-2018,17,2771.410
07-01-2018,18,3109.540
07-01-2018,19,3197.690
07-01-2018,20,3144.290
07-01-2018,21,2896.150
07-01-2018,22,2711.680
07-01-2018,23,2473.760
08-01-2018,0,1986.530
08-01-2018,1,1704.620
08-01-2018,2,1453.970
08-01-2018,3,1476.610
08-01-2018,4,1483.950
08-01-2018,5,1630.010
08-01-2018,6,2206.290
08-01-2018,7,2994.240
08-01-2018,8,3667.090
08-01-2018,9,3896.770
08-01-2018,10,4181.120
08-01-2018,11,4037.630
08-01-2018,12,3797.190
08-01-2018,13,3421.600
08-01-2018,14,3206.290
08-01-2018,15,3111.280
08-01-2018,16,3060.520
08-01-2018,17,3102.140
08-01-2018,18,3450.030
08-01-2018,19,3489.930
08-01-2018,20,3401.160
08-01-2018,21,3088.570
08-01-2018,22,2842.710
08-01-2018,23,2403.450
09-01-2018,0,1978.580
09-01-2018,1,1731.630
09-01-2018,2,1599.420
09-01-2018,3,1537.290
09-01-2018,4,1559.990
09-01-2018,5,1712.070
09-01-2018,6,2265.550
09-01-2018,7,3058.400
09-01-2018,8,3779.750
09-01-2018,9,3888.810
09-01-2018,10,4124.400
09-01-2018,11,4063.590
09-01-2018,12,3847.150
09-01-2018,13,3399.930
09-01-2018,14,3167.480
09-01-2018,15,3097.560
09-01-2018,16,3068.710
09-01-2018,17,3092.390
09-01-2018,18,3377.600
09-01-2018,19,3517.320
09-01-2018,20,3332.110
09-01-2018,21,3059.540
09-01-2018,22,2825.280
09-01-2018,23,2396.320
10-01-2018,0,1961.070
10-01-2018,1,1721.040
10-01-2018,2,1608.610
10-01-2018,3,1544.520
10-01-2018,4,1546.400
10-01-2018,5,1719.260
10-01-2018,6,2272.420
10-01-2018,7,3175.320
10-01-2018,8,3816.410
10-01-2018,9,3958.620
10-01-2018,10,4214.110
10-01-2018,11,4099.030
10-01-2018,12,3871.600
10-01-2018,13,3448.680
10-01-2018,14,3214.620
10-01-2018,15,3134.250
10-01-2018,16,3045.610
10-01-2018,17,3122.450
10-01-2018,18,3431.220
10-01-2018,19,3468.490
10-01-2018,20,3325.360
10-01-2018,21,3043.450
10-01-2018,22,2809.120
10-01-2018,23,2368.590
11-01-2018,0,1976.430
11-01-2018,1,1728.270
11-01-2018,2,1603.940
11-01-2018,3,1539.640
11-01-2018,4,1541.570
11-01-2018,5,1705.420
11-01-2018,6,2297.400
11-01-2018,7,3158.180
11-01-2018,8,3717.510
11-01-2018,9,3862.870
11-01-2018,10,4116.970
11-01-2018,11,3937.210
11-01-2018,12,3755.930
11-01-2018,13,3361.150
11-01-2018,14,3115.200
11-01-2018,15,3116.250
11-01-2018,16,3055.170
11-01-2018,17,3074.760
11-01-2018,18,3429.590
11-01-2018,19,3501.410
11-01-2018,20,3307.900
11-01-2018,21,3046.080
11-01-2018,22,2768.560
11-01-2018,23,2389.200
12-01-2018,0,1970.830
12-01-2018,1,1731.850
12-01-2018,2,1603.930
12-01-2018,3,1541.000
12-01-2018,4,1557.570
12-01-2018,5,1737.390
12-01-2018,6,2344.450
12-01-2018,7,3220.600
12-01-2018,8,3880.350
12-01-2018,9,3945.410
12-01-2018,10,4201.770
12-01-2018,11,4116.280
12-01-2018,12,3893.200
12-01-2018,13,3515.540
12-01-2018,14,3188.990
12-01-2018,15,3096.920
12-01-2018,16,3046.530
12-01-2018,17,3135.170
12-01-2018,18,3411.910
12-01-2018,19,3467.250
12-01-2018,20,3307.130
12-01-2018,21,2988.040
12-01-2018,22,2752.620
12-01-2018,23,2404.630
13-01-2018,0,1982.420
13-01-2018,1,1732.740
13-01-2018,2,1608.100
13-01-2018,3,1539.510
13-01-2018,4,1553.400
13-01-2018,5,1682.240
13-01-2018,6,2134.530
13-01-2018,7,2756.700
13-01-2018,8,3465.190
13-01-2018,9,3693.820
13-01-2018,10,3926.120
13-01-2018,11,3826.380
13-01-2018,12,3429.890
13-01-2018,13,3114.480
13-01-2018,14,2831.170
13-01-2018,15,2756.170
13-01-2018,16,2671.130
13-01-2018,17,2734.040
13-01-2018,18,3038.370
13-01-2018,19,3155.600
13-01-2018,20,2996.320
13-01-2018,21,2653.110
13-01-2018,22,2439.510
13-01-2018,23,2147.170
14-01-2018,0,1808.530
14-01-2018,1,1586.720
14-01-2018,2,1460.080
14-01-2018,3,1391.350
14-01-2018,4,1403.280
14-01-2018,5,1529.250
14-01-2018,6,1907.340
14-01-2018,7,2488.600
14-01-2018,8,3239.420
14-01-2018,9,3526.650
14-01-2018,10,3931.960
14-01-2018,11,3861.130
14-01-2018,12,3619.440
14-01-2018,13,3178.130
14-01-2018,14,2812.890
14-01-2018,15,2687.580
14-01-2018,16,2608.350
14-01-2018,17,2684.200
14-01-2018,18,2961.080
14-01-2018,19,3054.860
14-01-2018,20,2985.000
14-01-2018,21,2702.280
14-01-2018,22,2558.790
14-01-2018,23,2314.800
15-01-2018,0,1887.400
15-01-2018,1,1644.690
15-01-2018,2,1562.340
15-01-2018,3,1524.470
15-01-2018,4,1517.010
15-01-2018,5,1646.720
15-01-2018,6,2191.160
15-01-2018,7,2906.110
15-01-2018,8,3190.560
15-01-2018,9,3743.460
15-01-2018,10,3969.750
15-01-2018,11,3858.320
15-01-2018,12,3560.670
15-01-2018,13,3377.660
15-01-2018,14,3007.290
15-01-2018,15,2985.440
15-01-2018,16,2889.160
15-01-2018,17,2923.210
15-01-2018,18,3192.230
15-01-2018,19,3235.680
15-01-2018,20,3178.680
15-01-2018,21,2883.150
15-01-2018,22,2646.540
15-01-2018,23,2239.730
16-01-2018,0,1855.270
16-01-2018,1,1638.470
16-01-2018,2,1530.780
16-01-2018,3,1482.870
16-01-2018,4,1505.920
16-01-2018,5,1708.610
16-01-2018,6,2459.720
16-01-2018,7,3394.840
16-01-2018,8,3756.820
16-01-2018,9,3738.570
16-01-2018,10,3838.550
16-01-2018,11,3729.300
16-01-2018,12,3484.430
16-01-2018,13,3184.110
16-01-2018,14,2950.150
16-01-2018,15,2953.410
16-01-2018,16,2880.510
16-01-2018,17,2948.040
16-01-2018,18,3255.590
16-01-2018,19,3356.900
16-01-2018,20,3191.660
16-01-2018,21,2903.650
16-01-2018,22,2699.810
16-01-2018,23,2284.490
17-01-2018,0,1905.250
17-01-2018,1,1693.750
17-01-2018,2,1603.820
17-01-2018,3,1558.760
17-01-2018,4,1583.640
17-01-2018,5,1798.540
17-01-2018,6,2533.460
17-01-2018,7,3433.330
17-01-2018,8,3783.830
17-01-2018,9,3795.450
17-01-2018,10,4001.680
17-01-2018,11,3902.750
17-01-2018,12,3690.150
17-01-2018,13,3291.940
17-01-2018,14,3074.780
17-01-2018,15,3060.210
17-01-2018,16,2971.800
17-01-2018,17,3009.370
17-01-2018,18,3291.810
17-01-2018,19,3412.330
17-01-2018,20,3278.520
17-01-2018,21,2953.490
17-01-2018,22,2692.870
17-01-2018,23,2281.140
18-01-2018,0,1890.920
18-01-2018,1,1669.810
18-01-2018,2,1570.680
18-01-2018,3,1511.450
18-01-2018,4,1536.700
18-01-2018,5,1718.920
18-01-2018,6,2431.950
18-01-2018,7,3311.250
18-01-2018,8,3695.750
18-01-2018,9,3736.560
18-01-2018,10,3927.050
18-01-2018,11,3762.460
18-01-2018,12,3535.370
18-01-2018,13,3200.200
18-01-2018,14,3039.710
18-01-2018,15,3001.740
18-01-2018,16,2970.800
18-01-2018,17,3021.220
18-01-2018,18,3297.640
18-01-2018,19,3420.700
18-01-2018,20,3267.510
18-01-2018,21,2915.770
18-01-2018,22,2650.670
18-01-2018,23,2264.120
19-01-2018,0,2083.620
19-01-2018,1,2004.460
19-01-2018,2,1984.200
19-01-2018,3,1961.040
19-01-2018,4,1955.620
19-01-2018,5,2036.460
19-01-2018,6,2320.380
19-01-2018,7,2712.830
19-01-2018,8,2805.640
19-01-2018,9,2816.510
19-01-2018,10,3651.630
19-01-2018,11,3958.430
19-01-2018,12,3746.750
19-01-2018,13,3150.910
