Date,Hour,Load
01-01-2018,0,1868.99
01-01-2018,1,1620.27
01-01-2018,2,1510.06
01-01-2018,3,1424.39
01-01-2018,4,1426.58
01-01-2018,5,1578.41
01-01-2018,6,1961.04
01-01-2018,7,2589.60
01-01-2018,8,3234.76
01-01-2018,9,3528.79
01-01-2018,10,3926.20
01-01-2018,11,3954.21
01-01-2018,12,3793.20
01-01-2018,13,3417.65
01-01-2018,14,3090.09
01-01-2018,15,2946.36
01-01-2018,16,2825.37
01-01-2018,17,2863.42
01-01-2018,18,3082.06
01-01-2018,19,3061.99
01-01-2018,20,2935.84
01-01-2018,21,2701.10
01-01-2018,22,2521.82
01-01-2018,23,2167.07
02-01-2018,0,1794.89
02-01-2018,1,1593.43
02-01-2018,2,1486.71
02-01-2018,3,1443.99
02-01-2018,4,1448.48
02-01-2018,5,1580.67
02-01-2018,6,2047.83
02-01-2018,7,2697.37
02-01-2018,8,3386.06
02-01-2018,9,3675.99
02-01-2018,10,3959.00
02-01-2018,11,3901.01
02-01-2018,12,3538.05
02-01-2018,13,3386.35
02-01-2018,14,3161.00
02-01-2018,15,3079.05
02-01-2018,16,3049.37
02-01-2018,17,3058.73
02-01-2018,18,3381.01
02-01-2018,19,3379.24
02-01-2018,20,3179.73
02-01-2018,21,2930.84
02-01-2018,22,2705.82
02-01-2018,23,2286.77
03-01-2018,0,1923.38
03-01-2018,1,1722.48
03-01-2018,2,1553.25
03-01-2018,3,1496.11
03-01-2018,4,1516.72
03-01-2018,5,1644.15
03-01-2018,6,2106.96
03-01-2018,7,2771.74
03-01-2018,8,3479.18
03-01-2018,9,3860.96
03-01-2018,10,4158.00
03-01-2018,11,4091.87
03-01-2018,12,3894.71
03-01-2018,13,3494.33
03-01-2018,14,3220.78
03-01-2018,15,3153.02
03-01-2018,16,3035.13
03-01-2018,17,3140.36
03-01-2018,18,3433.87
03-01-2018,19,3446.00
03-01-2018,20,3300.08
03-01-2018,21,2992.11
03-01-2018,22,2737.00
03-01-2018,23,2347.03
