Date,Hour,Min,Load
01-01-2018,0,0,1868.99
01-01-2018,0,30,1738.79
01-01-2018,1,0,1620.27
01-01-2018,1,30,1569.02
01-01-2018,2,0,1510.06
01-01-2018,2,30,1467.03
01-01-2018,3,0,1424.39
01-01-2018,3,30,1417.09
01-01-2018,4,0,1426.58
01-01-2018,4,30,1471.67
01-01-2018,5,0,1578.41
01-01-2018,5,30,1761.15
01-01-2018,6,0,1961.04
01-01-2018,6,30,2250.91
01-01-2018,7,0,2589.60
01-01-2018,7,30,3016.55
01-01-2018,8,0,3234.76
01-01-2018,8,30,3417.75
01-01-2018,9,0,3528.79
01-01-2018,9,30,3777.79
01-01-2018,10,0,3926.20
01-01-2018,10,30,4018.45
01-01-2018,11,0,3954.21
01-01-2018,11,30,3911.93
01-01-2018,12,0,3793.20
01-01-2018,12,30,3646.78
01-01-2018,13,0,3417.65
01-01-2018,13,30,3140.31
01-01-2018,14,0,3090.09
01-01-2018,14,30,3012.09
01-01-2018,15,0,2946.36
01-01-2018,15,30,2861.40
01-01-2018,16,0,2825.37
01-01-2018,16,30,2812.97
01-01-2018,17,0,2863.42
01-01-2018,17,30,2938.79
01-01-2018,18,0,3082.06
01-01-2018,18,30,3080.54
01-01-2018,19,0,3061.99
01-01-2018,19,30,2992.91
01-01-2018,20,0,2935.84
01-01-2018,20,30,2839.12
01-01-2018,21,0,2701.10
01-01-2018,21,30,2641.72
01-01-2018,22,0,2521.82
01-01-2018,22,30,2346.35
01-01-2018,23,0,2167.07
01-01-2018,23,30,1961.61
02-01-2018,0,0,1794.89
02-01-2018,0,30,1681.94
02-01-2018,1,0,1593.43
02-01-2018,1,30,1519.85
02-01-2018,2,0,1486.71
02-01-2018,2,30,1457.53
02-01-2018,3,0,1443.99
02-01-2018,3,30,1416.48
02-01-2018,4,0,1448.48
02-01-2018,4,30,1495.66
02-01-2018,5,0,1580.67
02-01-2018,5,30,1772.76
02-01-2018,6,0,2047.83
02-01-2018,6,30,2399.90
02-01-2018,7,0,2697.37
02-01-2018,7,30,3095.20
02-01-2018,8,0,3386.06
02-01-2018,8,30,3574.14
02-01-2018,9,0,3675.99
02-01-2018,9,30,3881.77
02-01-2018,10,0,3959.00
02-01-2018,10,30,3994.94
02-01-2018,11,0,3901.01
02-01-2018,11,30,3637.61
02-01-2018,12,0,3538.05
02-01-2018,12,30,3581.84
02-01-2018,13,0,3386.35
02-01-2018,13,30,3145.36
02-01-2018,14,0,3161.00
02-01-2018,14,30,3110.51
02-01-2018,15,0,3079.05
02-01-2018,15,30,3034.74
02-01-2018,16,0,3049.37
02-01-2018,16,30,3038.70
02-01-2018,17,0,3058.73
02-01-2018,17,30,3179.25
02-01-2018,18,0,3381.01
02-01-2018,18,30,3458.78
02-01-2018,19,0,3379.24
02-01-2018,19,30,3304.22
02-01-2018,20,0,3179.73
02-01-2018,20,30,3034.27
02-01-2018,21,0,2930.84
02-01-2018,21,30,2796.03
02-01-2018,22,0,2705.82
02-01-2018,22,30,2475.12
02-01-2018,23,0,2286.77
02-01-2018,23,30,2105.18
03-01-2018,0,0,1923.38
03-01-2018,0,30,1811.79
03-01-2018,1,0,1722.48
03-01-2018,1,30,1646.18
03-01-2018,2,0,1553.25
03-01-2018,2,30,1521.11
03-01-2018,3,0,1496.11
03-01-2018,3,30,1494.23
03-01-2018,4,0,1516.72
03-01-2018,4,30,1575.76
03-01-2018,5,0,1644.15
03-01-2018,5,30,1838.79
03-01-2018,6,0,2106.96
03-01-2018,6,30,2448.27
03-01-2018,7,0,2771.74
03-01-2018,7,30,3159.74
03-01-2018,8,0,3479.18
03-01-2018,8,30,3797.49
03-01-2018,9,0,3860.96
03-01-2018,9,30,4010.89
03-01-2018,10,0,4158.00
03-01-2018,10,30,4141.28
03-01-2018,11,0,4091.87
03-01-2018,11,30,4003.58
03-01-2018,12,0,3894.71
03-01-2018,12,30,3726.96
03-01-2018,13,0,3494.33
03-01-2018,13,30,3230.98
03-01-2018,14,0,3220.78
03-01-2018,14,30,3199.77
03-01-2018,15,0,3153.02
03-01-2018,15,30,3067.04
03-01-2018,16,0,3035.13
03-01-2018,16,30,3055.28
03-01-2018,17,0,3140.36
03-01-2018,17,30,3253.64
03-01-2018,18,0,3433.87
03-01-2018,18,30,3483.00
03-01-2018,19,0,3446.00
03-01-2018,19,30,3407.22
03-01-2018,20,0,3300.08
03-01-2018,20,30,3202.50
03-01-2018,21,0,2992.11
03-01-2018,21,30,2843.93
03-01-2018,22,0,2737.00
03-01-2018,22,30,2561.51
03-01-2018,23,0,2347.03
03-01-2018,23,30,2144.66
04-01-2018,0,0,1947.71
04-01-2018,0,30,1780.98
04-01-2018,1,0,1686.37
04-01-2018,1,30,1565.87
04-01-2018,2,0,1522.06
04-01-2018,2,30,1492.77
04-01-2018,3,0,1459.91
04-01-2018,3,30,1460.02
04-01-2018,4,0,1461.59
04-01-2018,4,30,1522.96
04-01-2018,5,0,1620.45
04-01-2018,5,30,1800.14
04-01-2018,6,0,2071.58
04-01-2018,6,30,2445.07
04-01-2018,7,0,2774.75
04-01-2018,7,30,3188.59
04-01-2018,8,0,3464.00
04-01-2018,8,30,3681.79
04-01-2018,9,0,3756.34
04-01-2018,9,30,3955.16
04-01-2018,10,0,4022.25
04-01-2018,10,30,4049.02
04-01-2018,11,0,3971.51
04-01-2018,11,30,3811.84
04-01-2018,12,0,3804.64
04-01-2018,12,30,3664.52
04-01-2018,13,0,3419.54
04-01-2018,13,30,3173.98
04-01-2018,14,0,3209.19
04-01-2018,14,30,3194.69
04-01-2018,15,0,3201.52
04-01-2018,15,30,3118.94
04-01-2018,16,0,2712.44
04-01-2018,16,30,3186.26
04-01-2018,17,0,3252.71
04-01-2018,17,30,3370.08
04-01-2018,18,0,3504.12
04-01-2018,18,30,3551.84
