Date,Load
01/01/2018,20013
02/01/2018,20380
03/01/2018,19246
04/01/2018,19118
05/01/2018,20335
06/01/2018,20080
07/01/2018,19961
08/01/2018,18897
09/01/2018,17795
10/01/2018,17701
11/01/2018,16699
12/01/2018,15858
13/01/2018,16424
14/01/2018,17848
15/01/2018,19591
16/01/2018,18060
17/01/2018,18029
18/01/2018,17897
19/01/2018,17192
20/01/2018,15490
21/01/2018,15329
22/01/2018,17229
23/01/2018,16700
24/01/2018,17318
25/01/2018,18131
26/01/2018,17064
27/01/2018,15234
28/01/2018,15413
29/01/2018,17231
30/01/2018,17819
31/01/2018,17698
01/02/2018,16673
02/02/2018,17860
03/02/2018,16962
04/02/2018,16343
05/02/2018,17352
06/02/2018,17506
07/02/2018,17994
08/02/2018,17482
09/02/2018,17037
10/02/2018,15102
11/02/2018,15665
12/02/2018,16773
13/02/2018,17153
14/02/2018,16051
15/02/2018,15839
16/02/2018,15421
17/02/2018,15411
18/02/2018,15137
19/02/2018,15824
20/02/2018,15222
21/02/2018,15055
22/02/2018,16163
23/02/2018,15857
24/02/2018,14185
25/02/2018,15354
26/02/2018,15713
27/02/2018,15403
28/02/2018,15087
01/03/2018,14956
02/03/2018,15648
03/03/2018,14249
04/03/2018,15211
05/03/2018,16259
06/03/2018,15986
07/03/2018,16623
08/03/2018,15620
09/03/2018,15603
10/03/2018,14989
11/03/2018,14742
12/03/2018,15669
13/03/2018,15586
14/03/2018,15774
15/03/2018,15537
16/03/2018,15562
17/03/2018,14614
18/03/2018,15426
19/03/2018,16004
20/03/2018,15854
21/03/2018,16132
22/03/2018,15455
23/03/2018,14828
24/03/2018,13763
25/03/2018,14728
26/03/2018,15244
27/03/2018,15175
28/03/2018,14612
29/03/2018,14523
30/03/2018,13896
31/03/2018,13043
01/04/2018,13043
02/04/2018,15167
03/04/2018,15505
04/04/2018,14745
05/04/2018,15116
06/04/2018,14959
07/04/2018,13572
08/04/2018,14284
09/04/2018,14817
10/04/2018,14981
11/04/2018,14637
12/04/2018,14393
13/04/2018,13568
14/04/2018,12849
15/04/2018,14567
16/04/2018,15504
17/04/2018,14536
18/04/2018,14105
19/04/2018,14651
20/04/2018,13718
21/04/2018,12532
22/04/2018,12844
23/04/2018,13567
24/04/2018,13504
25/04/2018,14088
26/04/2018,13429
27/04/2018,13348
28/04/2018,12168
29/04/2018,12881
30/04/2018,14012
01/05/2018,13609
02/05/2018,14849
03/05/2018,15904
04/05/2018,15616
05/05/2018,12714
06/05/2018,12756
07/05/2018,13597
08/05/2018,13737
09/05/2018,13788
10/05/2018,13655
11/05/2018,12950
12/05/2018,12328
13/05/2018,12428
14/05/2018,13912
15/05/2018,15695
16/05/2018,13515
17/05/2018,14137
18/05/2018,12718
19/05/2018,12467
20/05/2018,13595
21/05/2018,14527
22/05/2018,13934
23/05/2018,15122
24/05/2018,14434
25/05/2018,15934
26/05/2018,16065
27/05/2018,12089
28/05/2018,12940
29/05/2018,17222
30/05/2018,15932
31/05/2018,16075
01/06/2018,16949
02/06/2018,16468
03/06/2018,12884
04/06/2018,13872
05/06/2018,13899
06/06/2018,13707
07/06/2018,13889
08/06/2018,15251
09/06/2018,14080
10/06/2018,13375
11/06/2018,14377
12/06/2018,15116
13/06/2018,15423
14/06/2018,15806
15/06/2018,13935
16/06/2018,14912
17/06/2018,16449
18/06/2018,20694
19/06/2018,18849
20/06/2018,17235
21/06/2018,17639
22/06/2018,15765
23/06/2018,13014
24/06/2018,15111
25/06/2018,15720
26/06/2018,15882
27/06/2018,15885
28/06/2018,17017
29/06/2018,20494
30/06/2018,20375
01/07/2018,22524
02/07/2018,23137
03/07/2018,23988
04/07/2018,21685
05/07/2018,24154
06/07/2018,20390
07/07/2018,14921
08/07/2018,16652
09/07/2018,20808
10/07/2018,22616
11/07/2018,18751
12/07/2018,17973
13/07/2018,18415
14/07/2018,16536
15/07/2018,19139
16/07/2018,22522
17/07/2018,22005
18/07/2018,18840
19/07/2018,17843
20/07/2018,18557
21/07/2018,15444
22/07/2018,17046
23/07/2018,21113
24/07/2018,22110
25/07/2018,20733
26/07/2018,20401
27/07/2018,22032
28/07/2018,20063
29/07/2018,17949
30/07/2018,18601
31/07/2018,20796
01/08/2018,20083
02/08/2018,23700
03/08/2018,22882
04/08/2018,18254
05/08/2018,21203
06/08/2018,24661
07/08/2018,24571
08/08/2018,23592
09/08/2018,22982
10/08/2018,21006
11/08/2018,15572
12/08/2018,16793
13/08/2018,17213
14/08/2018,20226
